Mon Nov 27 05:17:42 2023	Spark (STEAM_0:1:460412980) has joined the game
Mon Nov 27 05:26:35 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:26:37 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:26:38 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:26:40 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:26:41 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:26:42 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:26:50 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:26:52 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:27:01 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:27:03 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:27:04 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:27:05 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:27:07 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:27:11 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:27:15 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:27:25 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:27:49 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:27:50 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:27:53 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:27:55 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:27:57 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:28:07 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:28:21 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:28:21 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:28:24 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:28:26 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:33:00 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:33:03 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:33:06 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:33:08 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:33:12 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:33:13 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:33:21 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:33:23 2023	Spark (STEAM_0:1:460412980): 
Mon Nov 27 05:33:31 2023	King Platypus (STEAM_0:0:197465498) has joined the game
Mon Nov 27 05:33:58 2023	King Platypus (STEAM_0:0:197465498): /isbcheif
Mon Nov 27 05:34:03 2023	King Platypus (STEAM_0:0:197465498): /isbchief
